"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","outil_numerique","frequence_utilisation","objectif_utilisation","impact","satisfaction","filiere","pays"
88,"maraicheur 88","Grand Popo",1638342.18,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Vente","Amélioration des ventes","Élevée","Maraîchage","Bénin"
89,"maraicheur 89","Vallée de l’Ouémé",1473146.55,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Réduction des coûts","Élevée","Maraîchage","Bénin"
90,"maraicheur 90","Vallée de l’Ouémé",3534693.75,"Smartphone","3G","Hebdomadaire","Mobile Money","Hebdomadaire","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
91,"maraicheur 91","Sémè Kpodji",714486.32,"Smartphone","2G","Quotidienne","Facebook","Mensuelle","Gestion financière","Amélioration des ventes","Faible","Maraîchage","Bénin"
92,"maraicheur 92","Vallée de l’Ouémé",3653838.89,"Smartphone","3G","Quotidienne","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Élevée","Maraîchage","Bénin"
93,"maraicheur 93","Grand Popo",2083498.87,"Tablette","4G","Mensuelle","WhatsApp","Hebdomadaire","Gestion financière","Amélioration des ventes","Élevée","Maraîchage","Bénin"
94,"maraicheur 94","Sémè Kpodji",2340247.99,"Smartphone","3G","Mensuelle","Facebook","Mensuelle","Vente","Amélioration des ventes","Faible","Maraîchage","Bénin"
95,"maraicheur 95","Sémè Kpodji",4194280.96,"Smartphone","4G","Mensuelle","WhatsApp","Mensuelle","Vente","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
96,"maraicheur 96","Vallée de l’Ouémé",4634858.07,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Vente","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
97,"maraicheur 97","Sémè Kpodji",1771377.49,"Ordinateur","2G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
98,"maraicheur 98","Grand Popo",4824971.57,"Ordinateur","3G","Hebdomadaire","Facebook","Quotidienne","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
99,"maraicheur 99","Vallée de l’Ouémé",3777774.93,"Tablette","Wi-Fi","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
100,"maraicheur 100","Vallée de l’Ouémé",3588687.87,"Ordinateur","2G","Mensuelle","WhatsApp","Mensuelle","Communication","Réduction des coûts","Faible","Maraîchage","Bénin"
101,"Éleveur 1","Autres zones",6773258.81,"Tablette","4G","Mensuelle","Application de paiement","Hebdomadaire","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
102,"Éleveur 2","Autres zones",5613174.74,"Tablette","4G","Mensuelle","Plateforme de gestion","Quotidienne","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
103,"Éleveur 3","Richard-Toll",3883169.06,"Smartphone","3G","Quotidienne","Application de collecte de lait","Hebdomadaire","Paiement","Neutre","Accès limité","Élevage Laitier","Sénégal"
104,"Éleveur 4","Richard-Toll",6232898.42,"Tablette","3G","Quotidienne","Plateforme de gestion","Quotidienne","Paiement","Positif","Usages restreints","Élevage Laitier","Sénégal"
105,"Éleveur 5","Autres zones",6556099.67,"Ordinateur","3G","Mensuelle","Plateforme de gestion","Mensuelle","Paiement","Positif","Accès limité","Élevage Laitier","Sénégal"
106,"Éleveur 6","Autres zones",4944470.84,"Smartphone","2G","Mensuelle","Plateforme de gestion","Hebdomadaire","Paiement","Négatif","Accès limité","Élevage Laitier","Sénégal"
107,"Éleveur 7","Autres zones",2533320.83,"Tablette","4G","Mensuelle","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
108,"Éleveur 8","Autres zones",7435724.47,"Ordinateur","2G","Quotidienne","Plateforme de gestion","Quotidienne","Paiement","Neutre","Moins d’opportunités","Élevage Laitier","Sénégal"
109,"Éleveur 9","Autres zones",7730078.94,"Ordinateur","4G","Quotidienne","Application de collecte de lait","Quotidienne","Paiement","Négatif","Usages restreints","Élevage Laitier","Sénégal"
110,"Éleveur 10","Autres zones",8595232.37,"Tablette","3G","Quotidienne","Application de paiement","Mensuelle","Gestion du lait","Neutre","Accès limité","Élevage Laitier","Sénégal"
111,"Éleveur 11","Richard-Toll",5812831.42,"Tablette","3G","Quotidienne","Application de paiement","Hebdomadaire","Suivi de l’alimentation","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
112,"Éleveur 12","Richard-Toll",3720117.35,"Tablette","Wi-Fi","Quotidienne","Application de collecte de lait","Hebdomadaire","Suivi de l’alimentation","Négatif","Moins d’opportunités","Élevage Laitier","Sénégal"
113,"Éleveur 13","Autres zones",5108663.64,"Smartphone","3G","Mensuelle","Plateforme de gestion","Hebdomadaire","Gestion du lait","Neutre","Moins d’opportunités","Élevage Laitier","Sénégal"
114,"Éleveur 14","Autres zones",4459082.81,"Smartphone","3G","Hebdomadaire","Application de paiement","Mensuelle","Paiement","Neutre","Accès limité","Élevage Laitier","Sénégal"
115,"Éleveur 15","Autres zones",3241421.69,"Tablette","4G","Mensuelle","Plateforme de gestion","Quotidienne","Suivi de l’alimentation","Positif","Usages restreints","Élevage Laitier","Sénégal"
116,"Éleveur 16","Richard-Toll",6891640.7,"Tablette","3G","Mensuelle","Application de paiement","Mensuelle","Paiement","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
117,"Éleveur 17","Autres zones",9597913.32,"Smartphone","4G","Mensuelle","Application de collecte de lait","Quotidienne","Gestion du lait","Négatif","Moins d’opportunités","Élevage Laitier","Sénégal"
118,"Éleveur 18","Richard-Toll",3619746.62,"Tablette","4G","Mensuelle","Application de paiement","Hebdomadaire","Gestion du lait","Neutre","Accès limité","Élevage Laitier","Sénégal"
119,"Éleveur 19","Richard-Toll",6851701.78,"Ordinateur","Wi-Fi","Quotidienne","Plateforme de gestion","Hebdomadaire","Suivi de l’alimentation","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
120,"Éleveur 20","Richard-Toll",5827239.38,"Tablette","4G","Hebdomadaire","Application de paiement","Hebdomadaire","Gestion du lait","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
121,"Éleveur 21","Richard-Toll",6377066.8,"Tablette","2G","Hebdomadaire","Application de paiement","Hebdomadaire","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
122,"Éleveur 22","Autres zones",1224084.43,"Smartphone","2G","Mensuelle","Application de paiement","Quotidienne","Paiement","Négatif","Accès limité","Élevage Laitier","Sénégal"
123,"Éleveur 23","Richard-Toll",1043575.66,"Smartphone","3G","Mensuelle","Application de collecte de lait","Hebdomadaire","Paiement","Positif","Accès limité","Élevage Laitier","Sénégal"
124,"Éleveur 24","Richard-Toll",2182404.29,"Smartphone","3G","Hebdomadaire","Application de collecte de lait","Hebdomadaire","Paiement","Neutre","Usages restreints","Élevage Laitier","Sénégal"
125,"Éleveur 25","Autres zones",1223353.93,"Smartphone","2G","Quotidienne","Plateforme de gestion","Mensuelle","Suivi de l’alimentation","Positif","Accès limité","Élevage Laitier","Sénégal"
126,"Éleveur 26","Richard-Toll",1829165.07,"Ordinateur","2G","Quotidienne","Application de paiement","Mensuelle","Suivi de l’alimentation","Négatif","Moins d’opportunités","Élevage Laitier","Sénégal"
127,"Éleveur 27","Richard-Toll",5280024.02,"Ordinateur","4G","Quotidienne","Application de collecte de lait","Hebdomadaire","Paiement","Positif","Accès limité","Élevage Laitier","Sénégal"
128,"Éleveur 28","Richard-Toll",2769910.85,"Tablette","4G","Mensuelle","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Négatif","Accès limité","Élevage Laitier","Sénégal"
129,"Éleveur 29","Richard-Toll",8332065.54,"Tablette","2G","Quotidienne","Plateforme de gestion","Hebdomadaire","Gestion du lait","Neutre","Moins d’opportunités","Élevage Laitier","Sénégal"
130,"Éleveur 30","Richard-Toll",3196533.05,"Ordinateur","3G","Hebdomadaire","Application de collecte de lait","Mensuelle","Gestion du lait","Positif","Moins d’opportunités","Élevage Laitier","Sénégal"
131,"Éleveur 31","Richard-Toll",5399268.74,"Smartphone","2G","Hebdomadaire","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Négatif","Accès limité","Élevage Laitier","Sénégal"
132,"Éleveur 32","Richard-Toll",6839942.32,"Smartphone","2G","Hebdomadaire","Plateforme de gestion","Quotidienne","Paiement","Négatif","Usages restreints","Élevage Laitier","Sénégal"
133,"Éleveur 33","Autres zones",2428448.23,"Tablette","3G","Quotidienne","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Négatif","Accès limité","Élevage Laitier","Sénégal"
134,"Éleveur 34","Autres zones",8532801.2,"Ordinateur","Wi-Fi","Hebdomadaire","Application de paiement","Quotidienne","Paiement","Neutre","Accès limité","Élevage Laitier","Sénégal"
135,"Éleveur 35","Richard-Toll",4929368.77,"Smartphone","3G","Mensuelle","Application de collecte de lait","Hebdomadaire","Gestion du lait","Neutre","Usages restreints","Élevage Laitier","Sénégal"
136,"Éleveur 36","Richard-Toll",3101459.73,"Smartphone","Wi-Fi","Mensuelle","Plateforme de gestion","Hebdomadaire","Gestion du lait","Positif","Usages restreints","Élevage Laitier","Sénégal"
137,"Éleveur 37","Richard-Toll",3689703.93,"Ordinateur","3G","Quotidienne","Application de paiement","Mensuelle","Paiement","Neutre","Moins d’opportunités","Élevage Laitier","Sénégal"
138,"Éleveur 38","Richard-Toll",2434792.03,"Tablette","2G","Mensuelle","Plateforme de gestion","Mensuelle","Suivi de l’alimentation","Neutre","Usages restreints","Élevage Laitier","Sénégal"
139,"Éleveur 39","Richard-Toll",6270103.94,"Smartphone","3G","Mensuelle","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Neutre","Usages restreints","Élevage Laitier","Sénégal"
140,"Éleveur 40","Richard-Toll",2339001.79,"Ordinateur","3G","Mensuelle","Application de paiement","Mensuelle","Paiement","Neutre","Moins d’opportunités","Élevage Laitier","Sénégal"
141,"Éleveur 41","Autres zones",2611536.04,"Smartphone","2G","Quotidienne","Plateforme de gestion","Mensuelle","Gestion du lait","Négatif","Usages restreints","Élevage Laitier","Sénégal"
142,"Éleveur 42","Richard-Toll",4052993.54,"Ordinateur","Wi-Fi","Hebdomadaire","Plateforme de gestion","Mensuelle","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
143,"Éleveur 43","Richard-Toll",2655117.45,"Tablette","4G","Hebdomadaire","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Positif","Accès limité","Élevage Laitier","Sénégal"
144,"Éleveur 44","Richard-Toll",4649873.7,"Ordinateur","3G","Hebdomadaire","Plateforme de gestion","Hebdomadaire","Paiement","Neutre","Accès limité","Élevage Laitier","Sénégal"
145,"Éleveur 45","Autres zones",6522036.57,"Smartphone","2G","Hebdomadaire","Application de paiement","Mensuelle","Gestion du lait","Négatif","Moins d’opportunités","Élevage Laitier","Sénégal"
146,"Éleveur 46","Autres zones",7171042.01,"Tablette","3G","Quotidienne","Application de collecte de lait","Quotidienne","Paiement","Positif","Usages restreints","Élevage Laitier","Sénégal"
