"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","outil_numerique","frequence_utilisation","objectif_utilisation","impact_usages","satisfaction"
249,"Producteur 49","Centre-Ouest",18044795.96,"Tablette","2G","Quotidienne","Plateforme de commercialisation","Mensuelle","Gestion des cultures","Accès facilité aux informations","Moyenne"
250,"Producteur 50","Ouest",12687821.18,"Tablette","2G","Mensuelle","Application de gestion des cultures","Quotidienne","Suivi de la qualité","Accès facilité aux informations","Élevée"
251,"Producteur 51","Est",13173490,"Tablette","3G","Hebdomadaire","Application de gestion des cultures","Quotidienne","Suivi de la qualité","Amélioration des rendements","Élevée"
252,"Producteur 52","Centre-Ouest",9759040.3,"Smartphone","Wi-Fi","Quotidienne","Application de gestion des cultures","Mensuelle","Vente","Réduction des coûts","Moyenne"
253,"Producteur 53","Ouest",6314897.61,"Tablette","2G","Mensuelle","Application de gestion des cultures","Quotidienne","Vente","Amélioration des rendements","Moyenne"
254,"Producteur 54","Est",18954054.67,"Smartphone","3G","Hebdomadaire","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Réduction des coûts","Faible"
255,"Producteur 55","Ouest",1438362.76,"Ordinateur","2G","Hebdomadaire","Plateforme de commercialisation","Quotidienne","Suivi de la qualité","Amélioration des rendements","Élevée"
256,"Producteur 56","Ouest",4368941.8,"Smartphone","3G","Hebdomadaire","Plateforme de commercialisation","Quotidienne","Gestion des cultures","Accès facilité aux informations","Moyenne"
257,"Producteur 57","Centre-Ouest",19457134.42,"Ordinateur","Wi-Fi","Mensuelle","Application de gestion des cultures","Mensuelle","Vente","Accès facilité aux informations","Élevée"
258,"Producteur 58","Ouest",16195017.37,"Smartphone","4G","Hebdomadaire","Application de gestion des cultures","Quotidienne","Gestion des cultures","Réduction des coûts","Moyenne"
259,"Producteur 59","Ouest",19993369.27,"Tablette","4G","Mensuelle","Application de gestion des cultures","Quotidienne","Gestion des cultures","Réduction des coûts","Faible"
260,"Producteur 60","Centre-Ouest",5954125.6,"Ordinateur","4G","Hebdomadaire","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Élevée"
261,"Producteur 61","Est",12061470.51,"Ordinateur","Wi-Fi","Quotidienne","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Amélioration des rendements","Faible"
262,"Producteur 62","Est",2373589.16,"Ordinateur","2G","Quotidienne","Application de gestion des cultures","Mensuelle","Vente","Réduction des coûts","Moyenne"
263,"Producteur 63","Ouest",16243390.31,"Tablette","2G","Quotidienne","Plateforme de commercialisation","Mensuelle","Vente","Réduction des coûts","Moyenne"
264,"Producteur 64","Est",17730741.94,"Tablette","3G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Réduction des coûts","Faible"
265,"Producteur 65","Ouest",17902961.24,"Ordinateur","2G","Mensuelle","Application de gestion des cultures","Mensuelle","Vente","Amélioration des rendements","Élevée"
266,"Producteur 66","Ouest",1215213.13,"Tablette","3G","Mensuelle","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Réduction des coûts","Moyenne"
267,"Producteur 67","Centre-Ouest",5586610.76,"Ordinateur","2G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Amélioration des rendements","Élevée"
268,"Producteur 68","Ouest",12538109.05,"Tablette","2G","Hebdomadaire","Application de gestion des cultures","Quotidienne","Vente","Accès facilité aux informations","Moyenne"
269,"Producteur 69","Est",7891690.73,"Smartphone","2G","Hebdomadaire","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Moyenne"
270,"Producteur 70","Est",14474964.53,"Tablette","3G","Quotidienne","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Accès facilité aux informations","Faible"
271,"Producteur 71","Est",1799386.25,"Smartphone","3G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Vente","Réduction des coûts","Moyenne"
272,"Producteur 72","Ouest",13486249.58,"Smartphone","Wi-Fi","Mensuelle","Application de gestion des cultures","Hebdomadaire","Vente","Réduction des coûts","Faible"
273,"Producteur 73","Est",5383099.4,"Ordinateur","Wi-Fi","Quotidienne","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Faible"
274,"Producteur 74","Centre-Ouest",6186570.08,"Smartphone","Wi-Fi","Hebdomadaire","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Moyenne"
275,"Producteur 75","Est",14930111.78,"Smartphone","4G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Vente","Amélioration des rendements","Faible"
276,"Producteur 76","Centre-Ouest",4386867.82,"Ordinateur","Wi-Fi","Quotidienne","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Réduction des coûts","Élevée"
277,"Producteur 77","Est",8327051.1,"Smartphone","4G","Mensuelle","Application de gestion des cultures","Mensuelle","Gestion des cultures","Réduction des coûts","Élevée"
278,"Producteur 78","Centre-Ouest",14002736.65,"Tablette","Wi-Fi","Mensuelle","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Accès facilité aux informations","Moyenne"
279,"Producteur 79","Centre-Ouest",8888629.9,"Ordinateur","4G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Réduction des coûts","Moyenne"
280,"Producteur 80","Centre-Ouest",11301074.94,"Ordinateur","2G","Quotidienne","Application de gestion des cultures","Mensuelle","Gestion des cultures","Amélioration des rendements","Faible"
281,"Producteur 81","Ouest",9648607.72,"Tablette","2G","Quotidienne","Plateforme de commercialisation","Quotidienne","Vente","Accès facilité aux informations","Faible"
282,"Producteur 82","Ouest",3414224.33,"Ordinateur","3G","Mensuelle","Application de gestion des cultures","Quotidienne","Vente","Réduction des coûts","Faible"
283,"Producteur 83","Centre-Ouest",1592500.68,"Smartphone","2G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Amélioration des rendements","Moyenne"
284,"Producteur 84","Centre-Ouest",4147410.87,"Tablette","Wi-Fi","Mensuelle","Application de gestion des cultures","Hebdomadaire","Vente","Amélioration des rendements","Moyenne"
285,"Producteur 85","Centre-Ouest",16178733.52,"Tablette","2G","Quotidienne","Plateforme de commercialisation","Quotidienne","Suivi de la qualité","Réduction des coûts","Élevée"
286,"Producteur 86","Ouest",3705372.71,"Smartphone","2G","Quotidienne","Plateforme de commercialisation","Mensuelle","Gestion des cultures","Réduction des coûts","Moyenne"
287,"Producteur 87","Est",2414375.99,"Smartphone","Wi-Fi","Quotidienne","Plateforme de commercialisation","Hebdomadaire","Vente","Amélioration des rendements","Moyenne"
288,"Producteur 88","Ouest",1542906.14,"Tablette","3G","Quotidienne","Plateforme de commercialisation","Mensuelle","Vente","Amélioration des rendements","Élevée"
289,"Producteur 89","Est",8930446.16,"Smartphone","2G","Quotidienne","Application de gestion des cultures","Quotidienne","Gestion des cultures","Accès facilité aux informations","Moyenne"
290,"Producteur 90","Centre-Ouest",17226532.71,"Smartphone","2G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Moyenne"
291,"Producteur 91","Ouest",7279289.87,"Smartphone","2G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Vente","Amélioration des rendements","Faible"
292,"Producteur 92","Centre-Ouest",9444293.8,"Tablette","2G","Mensuelle","Plateforme de commercialisation","Mensuelle","Suivi de la qualité","Réduction des coûts","Élevée"
293,"Producteur 93","Centre-Ouest",8856181.48,"Ordinateur","4G","Mensuelle","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Élevée"
294,"Producteur 94","Est",7683264.9,"Smartphone","3G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Gestion des cultures","Réduction des coûts","Élevée"
295,"Producteur 95","Centre-Ouest",18629155.31,"Smartphone","3G","Mensuelle","Plateforme de commercialisation","Mensuelle","Vente","Accès facilité aux informations","Moyenne"
296,"Producteur 96","Ouest",18671036.57,"Tablette","2G","Mensuelle","Application de gestion des cultures","Mensuelle","Vente","Amélioration des rendements","Faible"
297,"Producteur 97","Centre-Ouest",6325000.04,"Smartphone","Wi-Fi","Quotidienne","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Réduction des coûts","Moyenne"
298,"Producteur 98","Ouest",14856889.04,"Smartphone","3G","Quotidienne","Plateforme de commercialisation","Mensuelle","Gestion des cultures","Accès facilité aux informations","Moyenne"
299,"Producteur 99","Ouest",5118913.09,"Smartphone","Wi-Fi","Hebdomadaire","Plateforme de commercialisation","Hebdomadaire","Vente","Accès facilité aux informations","Moyenne"
300,"Producteur 100","Centre-Ouest",18864707.77,"Smartphone","3G","Quotidienne","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Réduction des coûts","Élevée"
