"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","application_utilisee","frequence_utilisation","objectif_utilisation","impact_usages","satisfaction"
32,"maraicheur 32","Vallée de l’Ouémé",2254974.96,"Ordinateur","Wi-Fi","Quotidienne","Mobile Money","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Faible"
33,"maraicheur 33","Vallée de l’Ouémé",3073708.91,"Tablette","2G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Réduction des coûts","Faible"
34,"maraicheur 34","Grand Popo",1476017.43,"Smartphone","2G","Quotidienne","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Faible"
35,"maraicheur 35","Vallée de l’Ouémé",2501456.01,"Smartphone","3G","Hebdomadaire","WhatsApp","Quotidienne","Communication","Amélioration des ventes","Faible"
36,"maraicheur 36","Sémè Kpodji",1480958.01,"Smartphone","2G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Réduction des coûts","Élevée"
37,"maraicheur 37","Grand Popo",2760348.03,"Smartphone","3G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Accès facilité aux informations","Élevée"
38,"maraicheur 38","Vallée de l’Ouémé",2092570.57,"Tablette","3G","Mensuelle","Facebook","Quotidienne","Gestion financière","Amélioration des ventes","Élevée"
39,"maraicheur 39","Grand Popo",3424933.21,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Gestion financière","Réduction des coûts","Élevée"
40,"maraicheur 40","Grand Popo",2186212.8,"Smartphone","3G","Hebdomadaire","WhatsApp","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Élevée"
41,"maraicheur 41","Sémè Kpodji",2099504.21,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne"
42,"maraicheur 42","Vallée de l’Ouémé",2901595.75,"Smartphone","Wi-Fi","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Amélioration des ventes","Élevée"
43,"maraicheur 43","Vallée de l’Ouémé",3831504.62,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne"
44,"maraicheur 44","Grand Popo",1494963.22,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne"
45,"maraicheur 45","Vallée de l’Ouémé",2357357.53,"Smartphone","4G","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Accès facilité aux informations","Faible"
46,"maraicheur 46","Grand Popo",1695590.09,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Quotidienne","Vente","Amélioration des ventes","Faible"
47,"maraicheur 47","Vallée de l’Ouémé",3334878.74,"Tablette","4G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Élevée"
48,"maraicheur 48","Sémè Kpodji",1327228.21,"Smartphone","4G","Quotidienne","Facebook","Mensuelle","Gestion financière","Réduction des coûts","Moyenne"
49,"maraicheur 49","Grand Popo",4386398.5,"Tablette","4G","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Réduction des coûts","Moyenne"
50,"maraicheur 50","Sémè Kpodji",3859556.02,"Ordinateur","2G","Quotidienne","Facebook","Quotidienne","Vente","Réduction des coûts","Élevée"
51,"maraicheur 51","Grand Popo",3507280.92,"Smartphone","4G","Hebdomadaire","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Faible"
52,"maraicheur 52","Grand Popo",3281080.43,"Smartphone","4G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Amélioration des ventes","Faible"
53,"maraicheur 53","Vallée de l’Ouémé",2175071.27,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Amélioration des ventes","Moyenne"
54,"maraicheur 54","Grand Popo",2884260.59,"Smartphone","Wi-Fi","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Réduction des coûts","Élevée"
55,"maraicheur 55","Sémè Kpodji",4436070.54,"Smartphone","3G","Quotidienne","Mobile Money","Mensuelle","Recherche d'informations","Réduction des coûts","Faible"
56,"maraicheur 56","Grand Popo",3117875.45,"Tablette","4G","Mensuelle","WhatsApp","Quotidienne","Recherche d'informations","Accès facilité aux informations","Moyenne"
57,"maraicheur 57","Grand Popo",4278954.94,"Ordinateur","4G","Quotidienne","Mobile Money","Mensuelle","Communication","Réduction des coûts","Élevée"
58,"maraicheur 58","Vallée de l’Ouémé",1906016.74,"Ordinateur","4G","Quotidienne","WhatsApp","Quotidienne","Gestion financière","Réduction des coûts","Faible"
59,"maraicheur 59","Grand Popo",3687306.45,"Ordinateur","2G","Mensuelle","Facebook","Mensuelle","Vente","Amélioration des ventes","Moyenne"
60,"maraicheur 60","Sémè Kpodji",1692580.13,"Tablette","2G","Hebdomadaire","WhatsApp","Mensuelle","Gestion financière","Accès facilité aux informations","Moyenne"
61,"maraicheur 61","Grand Popo",3174544.37,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Gestion financière","Amélioration des ventes","Moyenne"
62,"maraicheur 62","Vallée de l’Ouémé",2665804.1,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Moyenne"
63,"maraicheur 63","Grand Popo",1692647.29,"Ordinateur","4G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Moyenne"
64,"maraicheur 64","Vallée de l’Ouémé",3040656.96,"Smartphone","3G","Hebdomadaire","Facebook","Mensuelle","Vente","Accès facilité aux informations","Élevée"
65,"maraicheur 65","Sémè Kpodji",4609347,"Ordinateur","2G","Hebdomadaire","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Élevée"
66,"maraicheur 66","Vallée de l’Ouémé",4558434.75,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Réduction des coûts","Faible"
67,"maraicheur 67","Sémè Kpodji",1733749.8,"Smartphone","3G","Quotidienne","Mobile Money","Hebdomadaire","Recherche d'informations","Réduction des coûts","Élevée"
68,"maraicheur 68","Sémè Kpodji",1946672.4,"Ordinateur","3G","Mensuelle","Mobile Money","Mensuelle","Recherche d'informations","Amélioration des ventes","Élevée"
69,"maraicheur 69","Vallée de l’Ouémé",4935383.98,"Tablette","3G","Mensuelle","Mobile Money","Hebdomadaire","Gestion financière","Amélioration des ventes","Faible"
70,"maraicheur 70","Sémè Kpodji",3289969.9,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Vente","Accès facilité aux informations","Élevée"
71,"maraicheur 71","Sémè Kpodji",4717913.4,"Tablette","2G","Mensuelle","WhatsApp","Hebdomadaire","Vente","Réduction des coûts","Moyenne"
72,"maraicheur 72","Vallée de l’Ouémé",2599397.16,"Smartphone","Wi-Fi","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Amélioration des ventes","Faible"
73,"maraicheur 73","Vallée de l’Ouémé",2330746.67,"Ordinateur","2G","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Réduction des coûts","Faible"
74,"maraicheur 74","Grand Popo",3466536.46,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Recherche d'informations","Réduction des coûts","Moyenne"
75,"maraicheur 75","Sémè Kpodji",1185559.78,"Ordinateur","4G","Mensuelle","Mobile Money","Quotidienne","Vente","Réduction des coûts","Moyenne"
76,"maraicheur 76","Sémè Kpodji",3077901.76,"Ordinateur","4G","Mensuelle","Mobile Money","Hebdomadaire","Recherche d'informations","Amélioration des ventes","Élevée"
77,"maraicheur 77","Grand Popo",1574267.12,"Ordinateur","2G","Hebdomadaire","WhatsApp","Quotidienne","Gestion financière","Accès facilité aux informations","Faible"
78,"maraicheur 78","Sémè Kpodji",4830615.21,"Tablette","2G","Hebdomadaire","Facebook","Hebdomadaire","Gestion financière","Accès facilité aux informations","Faible"
79,"maraicheur 79","Grand Popo",3206145.77,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Vente","Réduction des coûts","Élevée"
80,"maraicheur 80","Grand Popo",2817633.77,"Smartphone","2G","Hebdomadaire","Facebook","Quotidienne","Communication","Réduction des coûts","Faible"
81,"maraicheur 81","Sémè Kpodji",2311580.04,"Smartphone","4G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Réduction des coûts","Élevée"
82,"maraicheur 82","Vallée de l’Ouémé",4461109.44,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Hebdomadaire","Recherche d'informations","Amélioration des ventes","Élevée"
83,"maraicheur 83","Vallée de l’Ouémé",2138413.39,"Tablette","3G","Hebdomadaire","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne"
84,"maraicheur 84","Grand Popo",1797076.76,"Smartphone","2G","Quotidienne","WhatsApp","Quotidienne","Communication","Amélioration des ventes","Élevée"
85,"maraicheur 85","Sémè Kpodji",1267903.56,"Ordinateur","2G","Hebdomadaire","Mobile Money","Hebdomadaire","Vente","Réduction des coûts","Élevée"
86,"maraicheur 86","Grand Popo",1274772.86,"Smartphone","4G","Mensuelle","WhatsApp","Quotidienne","Communication","Accès facilité aux informations","Élevée"
87,"maraicheur 87","Sémè Kpodji",2669191.72,"Ordinateur","Wi-Fi","Quotidienne","Mobile Money","Hebdomadaire","Vente","Amélioration des ventes","Élevée"
88,"maraicheur 88","Grand Popo",1638342.18,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Vente","Amélioration des ventes","Élevée"
89,"maraicheur 89","Vallée de l’Ouémé",1473146.55,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Réduction des coûts","Élevée"
90,"maraicheur 90","Vallée de l’Ouémé",3534693.75,"Smartphone","3G","Hebdomadaire","Mobile Money","Hebdomadaire","Gestion financière","Accès facilité aux informations","Faible"
91,"maraicheur 91","Sémè Kpodji",714486.32,"Smartphone","2G","Quotidienne","Facebook","Mensuelle","Gestion financière","Amélioration des ventes","Faible"
92,"maraicheur 92","Vallée de l’Ouémé",3653838.89,"Smartphone","3G","Quotidienne","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Élevée"
93,"maraicheur 93","Grand Popo",2083498.87,"Tablette","4G","Mensuelle","WhatsApp","Hebdomadaire","Gestion financière","Amélioration des ventes","Élevée"
94,"maraicheur 94","Sémè Kpodji",2340247.99,"Smartphone","3G","Mensuelle","Facebook","Mensuelle","Vente","Amélioration des ventes","Faible"
95,"maraicheur 95","Sémè Kpodji",4194280.96,"Smartphone","4G","Mensuelle","WhatsApp","Mensuelle","Vente","Accès facilité aux informations","Moyenne"
96,"maraicheur 96","Vallée de l’Ouémé",4634858.07,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Vente","Accès facilité aux informations","Moyenne"
97,"maraicheur 97","Sémè Kpodji",1771377.49,"Ordinateur","2G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Faible"
98,"maraicheur 98","Grand Popo",4824971.57,"Ordinateur","3G","Hebdomadaire","Facebook","Quotidienne","Gestion financière","Accès facilité aux informations","Faible"
99,"maraicheur 99","Vallée de l’Ouémé",3777774.93,"Tablette","Wi-Fi","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Accès facilité aux informations","Moyenne"
100,"maraicheur 100","Vallée de l’Ouémé",3588687.87,"Ordinateur","2G","Mensuelle","WhatsApp","Mensuelle","Communication","Réduction des coûts","Faible"
